agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
190,113394.9,71.0,218,218,1758875052123,true
191,113385.8,1.0,219,219,1758875052212,true
192,113385.8,1.0,220,220,1758875053011,true
193,113376.7,1.0,221,221,1758875057380,true
194,113385.8,1.0,222,222,1758875061216,true
195,113394.9,1.0,223,223,1758875061739,true
196,113394.9,30.0,224,224,1758875062002,true
197,113394.9,1.0,225,225,1758875067649,true
198,113394.9,1.0,226,226,1758875072028,true
199,113394.9,1.0,227,227,1758875076387,true
200,113394.9,1.0,228,228,1758875077041,true
201,113394.9,1.0,229,229,1758875080740,true
202,113394.9,1.0,230,230,1758875085107,true
203,113395.5,1.0,231,231,1758875089511,true
204,113395.5,1.0,232,232,1758875093057,true
205,113395.5,1.0,233,233,1758875093887,true
206,113395.5,1.0,234,234,1758875099541,true
207,113395.5,1.0,235,235,1758875103910,true
208,113395.5,1.0,236,236,1758875108295,true
209,113395.5,1.0,237,237,1758875108600,true
210,113402.1,22.0,238,240,1758875110437,false
211,113419.4,30.0,241,241,1758875110790,true
212,113419.4,1.0,242,242,1758875112666,true
213,113408.9,82.0,243,243,1758875115477,true
214,113408.9,21.0,244,244,1758875115900,true
215,113408.6,100.0,245,245,1758875116463,true
216,113408.6,1.0,246,246,1758875117028,true
217,113408.6,1.0,247,247,1758875121390,true
218,113417.7,30.0,248,248,1758875122598,true
219,113417.7,30.0,249,249,1758875122940,true
220,113417.7,30.0,250,250,1758875123282,true
221,113417.7,13.0,251,251,1758875123620,true
222,113448.5,103.0,252,252,1758875124151,false
223,113448.6,22.0,253,253,1758875124151,false
224,113448.6,636.0,254,255,1758875124157,true
225,113448.6,137.0,256,257,1758875124508,true
226,113448.6,97.0,258,258,1758875124751,true
227,113448.6,30.0,259,259,1758875124874,true
228,113448.6,30.0,260,260,1758875125173,true
229,113448.6,30.0,261,261,1758875125470,true
230,113448.6,31.0,262,263,1758875125771,true
231,113448.6,17.0,264,264,1758875126125,true
232,113419.3,1.0,265,265,1758875127048,true
233,113451.5,321.0,266,266,1758875129750,true
234,113451.5,13.0,267,267,1758875130101,true
235,113451.5,30.0,268,268,1758875130484,true
236,113451.5,30.0,269,269,1758875130841,true
237,113451.5,143.0,270,271,1758875131130,true
238,113451.5,101.0,272,272,1758875131242,true
239,113451.5,1.0,273,273,1758875131406,true
240,113451.5,119.0,274,275,1758875131525,true
241,113451.5,30.0,276,276,1758875131863,true
242,113451.5,30.0,277,277,1758875132221,true
243,113451.5,30.0,278,278,1758875132527,true
244,113451.5,30.0,279,279,1758875132846,true
245,113451.5,126.0,280,281,1758875133107,true
246,113451.5,117.0,282,283,1758875133424,true
247,113451.5,13.0,284,284,1758875133861,true
